"Category","Licence No.","Operating Name","Issued","Client Name","Business Phone","Business Phone Ext.","Licence Address Line 1","Licence Address Line 2","Licence Address Line 3","Conditions","Free Form Conditions Line 1","Free Form Conditions Line 2","Plate No.","Endorsements","Cancel Date","Latitude","Longitude"
"RETAIL STORE (FOOD)","B50-4732793","TEA SHOP 168","15-AUG-2017","HAPPY YOGURT INC","6477480168","","316 COLLEGE ST","TORONTO, ON","M5T 1S3","NO SEATING ACCOMMODATION;","TAKE-OUT ONLY","","","REFRESHMENTS;","",43.6577597563,-79.4024334256
"RETAIL STORE (FOOD)","B50-4742346","PIZZA & WINGS","18-DEC-2017","1981142 ONTARIO CORP","","","3206 LAKE SHORE BLVD W","TORONTO, ON","M8V 1L9","NO SEATING ACCOMMODATION;","**PICK UP AND DELIVERY ONLY**","","","REFRESHMENTS;","",43.5975281344,-79.5208831233
"RETAIL STORE (FOOD)","B50-4757533","EL VENEZOLANO","19-DEC-2017","CARRILLO VILORIA, JOSE MIGUEL","","","40 CARL HALL RD, E3","TORONTO, ON","M3K 2C1","NO SEATING ACCOMMODATION;","","","","REFRESHMENTS;","",43.7483766822,-79.4791132214
"RETAIL STORE (FOOD)","B50-4752949","FAMILY SHAWARMA & FALAFEL","13-DEC-2017","FAMILY SHAWARMA & FALAFEL LTD","4164968010","","2778 VICTORIA PARK AVE","TORONTO, ON","M2J 4A8","NO SEATING ACCOMMODATION;","","","","REFRESHMENTS;","",43.7881180004,-79.3294407827
"RETAIL STORE (FOOD)","B50-3616641","CIRCLE K","20-NOV-2006","1260194 ONTARIO INC","4167665682","","2244 BLOOR ST W","TORONTO, ON","M6S 1N6","","STORE 660123","","","CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;","",43.6511490702,-79.4772066038
"RETAIL STORE (FOOD)","B50-3616992","THIN BLUE LINE CHEESE","20-NOV-2006","ROZENDER, MARC","4165354898","","93 RONCESVALLES AVE","TORONTO, ON","M6R 2K6","","AS PER BY-LAW NO 438-86","","","FOODSTUFFS;","",43.6418247238,-79.44706139
"RETAIL STORE (FOOD)","B50-4066625","FAMILY VARIETY & GROCERY","21-JUN-2010","JI,YOUNG IE/PARK,SEUNG YONG","4167831238","","963 EGLINTON AVE W","TORONTO, ON","M6C 2C4","","""SUBJECT TO BY-LAW # 438-86""","","","CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;","",43.6999632429,-79.429183365
"RETAIL STORE (FOOD)","B50-4063225","HASTY MARKET","23-FEB-2010","ANUSHA ENTERPRISES INC","4164250512","","1213 BAYVIEW AVE, #1-2","TORONTO, ON","M4G 2Z8","","","","","CIGARS, CIGARETTES & TOBACCO;REFRESHMENTS;","",43.6969755899,-79.3715130294
"RETAIL STORE (FOOD)","B50-3962112","","30-DEC-2009","HONG TSAI HERBAL MEDICINE COMPANY LTD","4162991388","","4186 FINCH AVE E, #23","TORONTO, ON","M1S 4T5","","","","","FOODSTUFFS;","",43.803867255,-79.288365292
"RETAIL STORE (FOOD)","B50-4701252","G.S LOTTO","09-FEB-2017","TO, VI-DONG","4165955435","","544 DUNDAS ST W","TORONTO, ON","M5T 1H3","SHARED ADDRESS;","","","","FOODSTUFFS;","",43.6529329708,-79.3993556128
