Category,Licence No.,Name,Business Phone,Business Phone Ext.,Licence Address Line 1,Licence Address Line 2,Licence Address Line 3,Endorsements,Latitude,Longitude
RETAIL STORE (FOOD),B50-4732793,TEA SHOP 168,6477480168,,316 COLLEGE ST,"TORONTO, ON",M5T 1S3,REFRESHMENTS;,43.65775976,-79.40243343
RETAIL STORE (FOOD),B50-4742346,PIZZA & WINGS,,,3206 LAKE SHORE BLVD W,"TORONTO, ON",M8V 1L9,REFRESHMENTS;,43.59752813,-79.52088312
RETAIL STORE (FOOD),B50-4757533,EL VENEZOLANO,,,"40 CARL HALL RD, E3","TORONTO, ON",M3K 2C1,REFRESHMENTS;,43.74837668,-79.47911322
RETAIL STORE (FOOD),B50-4752949,FAMILY SHAWARMA & FALAFEL,4164968010,,2778 VICTORIA PARK AVE,"TORONTO, ON",M2J 4A8,REFRESHMENTS;,43.788118,-79.32944078
RETAIL STORE (FOOD),B50-3616641,CIRCLE K,4167665682,,2244 BLOOR ST W,"TORONTO, ON",M6S 1N6,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",43.65114907,-79.4772066
RETAIL STORE (FOOD),B50-3616992,THIN BLUE LINE CHEESE,4165354898,,93 RONCESVALLES AVE,"TORONTO, ON",M6R 2K6,FOODSTUFFS;,43.64182472,-79.44706139
GROCERY STORE,B50-4066625,FAMILY VARIETY & GROCERY,4167831238,,963 EGLINTON AVE W,"TORONTO, ON",M6C 2C4,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",43.69996324,-79.42918337
GROCERY STORE,B50-4063225,HASTY MARKET,4164250512,,"1213 BAYVIEW AVE, #1-2","TORONTO, ON",M4G 2Z8,"CIGARS, CIGARETTES & TOBACCO;REFRESHMENTS;",43.69697559,-79.37151303
RETAIL STORE (FOOD),B50-3962112,HONG TSAI HERBAL MEDICINE COMPANY LTD,4162991388,,"4186 FINCH AVE E, #23","TORONTO, ON",M1S 4T5,FOODSTUFFS;,43.80386726,-79.28836529
RETAIL STORE (FOOD),B50-4701252,G.S LOTTO,4165955435,,544 DUNDAS ST W,"TORONTO, ON",M5T 1H3,FOODSTUFFS;,43.65293297,-79.39935561
